dis_along_flowline,area,mean_elevation,slope,bin_elevation,dx,width
39.45390839525112,4608.0,2560.246826171875,0.3633134365081787,2565.0,78.90781679050224,58.39725628493935
104.01285157946664,9216.0,2533.7001953125,0.5385716557502747,2535.0,50.21006957792881,183.54883945532592
149.13102005389564,11520.0,2503.206298828125,0.6431860327720642,2505.0,40.02626737092918,287.8109990432658
188.43366853934856,11520.0,2470.265380859375,0.6609476804733276,2475.0,38.57902959997665,298.60782190350824
227.53773434218908,11520.0,2443.96728515625,0.6479784250259399,2445.0,39.62910200570443,290.69545906797856
266.892535814671,18432.0,2412.4169921875,0.6546993851661682,2415.0,39.08050093925948,471.64185609206424
353.0619545547476,39168.0,2379.113525390625,0.22143496572971344,2385.0,133.25833654089374,293.9253259249585
477.61721420537873,96768.0,2353.379150390625,0.25338491797447205,2355.0,115.8521827603685,835.2712714973813
577.9102434891479,142848.0,2323.19287109375,0.3402779698371887,2325.0,84.7338758071699,1685.842865550978
653.1423542957743,186624.0,2295.245849609375,0.428171843290329,2295.0,65.73034580608297,2839.2365460935857
727.87284502554,207360.0,2263.257568359375,0.3440425395965576,2265.0,83.73063565344823,2476.512908109762
844.3883191051467,299520.0,2234.613037109375,0.19829663634300232,2235.0,149.30031250576528,2006.1578905833433
971.4039173924818,417024.0,2204.572021484375,0.27897828817367554,2205.0,104.73088406890504,3981.8626922468216
1093.0350801662953,569088.0,2174.0224609375,0.21326421201229095,2175.0,138.53144147872172,4108.006052094761
1248.1725993020232,555264.0,2146.053955078125,0.17293418943881989,2145.0,171.743596792734,3233.0987027720835
1413.6952048490566,463104.0,2115.169189453125,0.18614192306995392,2115.0,159.30161430133288,2907.0891844447883
1591.3824768603374,366336.0,2085.520751953125,0.15182682871818542,2085.0,196.07292972122872,1868.3660234018373
1790.7354088783727,278784.0,2055.2099609375,0.14698325097560883,2055.0,202.63293431484166,1375.8079403165448
2096.088071744356,329472.0,2026.2110595703125,0.0733843520283699,2025.0,408.0723914171252,807.3861572840857
2387.0984538503285,248832.0,1995.0848388671875,0.17078490555286407,1995.0,173.94837279481982,1430.49340446265
2552.477085321555,221184.0,1965.5477294921875,0.1890314817428589,1965.0,156.80889014763318,1410.5322714277145
2701.8804148403333,188928.0,1935.120849609375,0.20820912718772888,1935.0,141.99776888992298,1330.4997781088903
2836.9994587515907,211968.0,1904.971435546875,0.229803204536438,1905.0,128.24031893259192,1652.8967002290333
3004.942443431952,294912.0,1873.40576171875,0.14348405599594116,1875.0,207.64565042813072,1420.265723803704
3261.7098501209075,364032.0,1846.280517578125,0.0977620929479599,1845.0,305.8891629497801,1190.0781200926874
3525.0467683481015,172800.0,1816.3756103515625,0.135051891207695,1815.0,220.784673504608,782.6630230127522
3707.2960771008647,101376.0,1784.5655517578125,0.20579278469085693,1785.0,143.713944000918,705.401279637503
3890.480752387538,179712.0,1753.171875,0.1339307725429535,1755.0,222.65540657242877,807.1306363788678
4124.293932254063,184320.0,1727.0546875,0.12185674160718918,1725.0,244.9709531606214,752.415735914396
4321.183382945417,96768.0,1696.40380859375,0.1989355981349945,1695.0,148.80794822208674,650.2878452136151
4465.369131286081,115200.0,1663.59033203125,0.21173395216464996,1665.0,139.56354845924025,825.430431310969
4655.151085914497,214272.0,1633.078857421875,0.12435480952262878,1635.0,240.00036079759272,892.7986578349728
4883.752583387517,214272.0,1605.87158203125,0.13725148141384125,1605.0,217.20263414844678,986.5073728965743
5094.276673995438,154368.0,1575.62158203125,0.1461213231086731,1575.0,203.84554706739482,757.2792352877019
5274.370515625287,99072.0,1545.0257568359375,0.18958242237567902,1545.0,156.3421361923045,633.6871326750909
5431.8909593418175,92160.0,1514.924072265625,0.1868327260017395,1515.0,158.69875124075676,580.7229060056499
5589.512156115947,87552.0,1485.4625244140625,0.18934418261051178,1485.0,156.5436423075011,559.2817358115396
5737.121510157675,82944.0,1456.195068359375,0.2130499631166458,1455.0,138.67506577595643,598.1176178708608
5870.528644974481,69120.0,1426.26708984375,0.22997821867465973,1425.0,128.13920385765454,539.4133717014744
6009.865315709245,52992.0,1396.9451904296875,0.19671310484409332,1395.0,150.53413761187315,352.0264628388208
6240.103926104173,4608.0,1379.0643310546875,0.09649138152599335,1365.0,309.9430831779835,14.867245794783152
